"State","smokingRate","Pop"
"Utah","8.9000",3282115
"California","11.3000",39937489
"Connecticut","12.7000",3563077
"Hawaii","12.8000",1412687
"Washington","13.5000",7797095
"Massachusetts","13.7000",6976597
"New Jersey","13.7000",8936574
"Maryland","13.8000",6083116
"New York","14.1000",19440469
"District of Columbia","14.3000",720687
"Idaho","14.3000",1826156
"Minnesota","14.5000",5700671
"Colorado","14.6000",5845526
"Rhode Island","14.9000",1056161
"Nebraska","15.4000",1952570
"Illinois","15.5000",12659682
"Arizona","15.6000",7378494
"New Hampshire","15.7000",1371246
"Texas","15.7000",29472295
"Vermont","15.8000",628061
"Wisconsin",16,5851754
"Florida","16.1000",21992985
"Oregon","16.1000",4301089
"Virginia","16.4000",8626207
"Delaware",17,982895
"Iowa","17.1000",3179849
"Montana","17.2000",1086759
"North Carolina","17.2000",10611862
"Maine","17.3000",1345790
"Kansas","17.4000",2910357
"Georgia","17.5000",10736059
"New Mexico","17.5000",2096640
"Nevada","17.6000",3139658
"North Dakota","18.3000",761723
"Pennsylvania","18.7000",12820878
"Wyoming","18.7000",567025
"South Carolina","18.8000",5210095
"Michigan","19.3000",10045029
"South Dakota","19.3000",903027
"Oklahoma","20.1000",3954821
"Missouri","20.8000",6169270
"Alabama","20.9000",4908621
"Alaska",21,734002
"Ohio","21.1000",11747694
"Indiana","21.8000",6745354
"Mississippi","22.2000",2989260
"Arkansas","22.3000",3038999
"Tennessee","22.6000",6897576
"Louisiana","23.1000",4645184
"Kentucky","24.6000",4499692
"West Virginia",26,1778070