USA State,Total Cases,Total Deaths,Active Cases,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
New York,327374 ,24944 ,249085 ,"16,687","1,271",1007310 ,"51,345"
New Jersey,129345 ,7951 ,120123 ,"14,563",895,275900 ,"31,063"
Massachusetts,69087 ,4090 ,56879 ,"10,115",599,324268 ,"47,476"
Illinois,63840 ,2662 ,60533 ,"4,979",208,333147 ,"25,983"
California,56089 ,2283 ,46258 ,"1,433",58,750287 ,"19,165"
Pennsylvania,52922 ,2850 ,49089 ,"4,137",223,245590 ,"19,200"
Michigan,43950 ,4135 ,24156 ,"4,414",415,229183 ,"23,016"
Florida,36897 ,1399 ,34812 ,"1,791",68,445995 ,"21,652"
Texas,33027 ,915 ,15491 ,"1,184",33,407528 ,"14,614"
Connecticut,30173 ,2556 ,27552 ,"8,425",714,105330 ,"29,409"
Louisiana,29673 ,2064 ,10306 ,"6,363",443,180931 ,"38,796"
Georgia,29438 ,1246 ,27852 ,"2,859",121,183012 ,"17,772"
Maryland,26408 ,1317 ,23574 ,"4,399",219,136995 ,"22,819"
Indiana,20507 ,1264 ,19229 ,"3,090",190,113297 ,"17,069"
Ohio,20476 ,1058 ,18970 ,"1,759",91,154290 ,"13,253"
Virginia,19492 ,684 ,16311 ,"2,317",81,122788 ,"14,594"
Colorado,16907 ,851 ,15497 ,"3,057",154,83266 ,"15,054"
Washington,16136 ,846 ,12858 ,"2,212",116,216320 ,"29,656"
Tennessee,13571 ,219 ,7271 ,"2,040",33,211443 ,"31,791"
North Carolina,11972 ,442 ,9722 ,"1,179",44,146439 ,"14,419"
Iowa,9703 ,188 ,6029 ,"3,098",60,57161 ,"18,248"
Rhode Island,9652 ,341 ,8969 ,"9,135",323,74136 ,"70,164"
Arizona,8919 ,362 ,8487 ,"1,284",52,85253 ,"12,272"
Missouri,8887 ,383 ,6517 ,"1,459",63,91083 ,"14,956"
Wisconsin,8236 ,340 ,3923 ,"1,425",59,88703 ,"15,351"
Alabama,8112 ,298 ,7794 ,"1,668",61,103302 ,"21,235"
Mississippi,7877 ,310 ,4154 ,"2,636",104,79677 ,"26,659"
Minnesota,7234 ,428 ,2594 ,"1,309",77,85941 ,"15,548"
South Carolina,6757 ,283 ,1593 ,"1,363",57,67771 ,"13,675"
Nebraska,6083 ,79 ,5982 ,"3,194",41,34675 ,"18,204"
Nevada,5491 ,266 ,2320 ,"1,879",91,57274 ,"19,595"
Kansas,5328 ,156 ,4191 ,"1,832",54,38603 ,"13,271"
Utah,5317 ,50 ,3082 ,"1,746",16,124661 ,"40,935"
Delaware,5288 ,182 ,3390 ,"5,569",192,24110 ,"25,392"
Kentucky,5245 ,261 ,3862 ,"1,181",59,60046 ,"13,523"
District of Columbia,5170 ,258 ,4246 ,"7,553",377,23795 ,"34,763"
Oklahoma,4044 ,238 ,1124 ,"1,032",61,70368 ,"17,960"
New Mexico,4031 ,156 ,3115 ,"1,926",75,81720 ,"39,055"
Arkansas,3458 ,80 ,1362 ,"1,156",27,54442 ,"18,204"
Oregon,2759 ,109 ,1790 ,676,27,63443 ,"15,542"
South Dakota,2668 ,21 ,817 ,"3,087",24,18713 ,"21,651"
New Hampshire,2588 ,86 ,1483 ,"1,926",64,30836 ,"22,950"
Idaho,2106 ,64 ,684 ,"1,248",38,30146 ,"17,861"
North Dakota,1225 ,25 ,660 ,"1,629",33,34754 ,"46,203"
West Virginia,1224 ,50 ,602 ,669,27,54075 ,"29,564"
Maine,1205 ,57 ,428 ,904,43,20641 ,"15,487"
Vermont,902 ,52 ,850 ,"1,443",83,17332 ,"27,732"
Hawaii,621 ,17 ,56 ,437,12,34711 ,"24,409"
Wyoming,596 ,7 ,184 ,"1,024",12,10454 ,"17,967"
Montana,457 ,16 ,37 ,439,15,15088 ,"14,484"
Alaska,370 ,9 ,98 ,501,12,21723 ,"29,414"
Guam,149 ,5 ,13 ,,,605,
Northern Mariana Islands,14 ,2 ,0 ,,,948,
Puerto Rico,1843 ,97 ,1371 ,544,29,"13,022","3,845"
United States Virgin Islands,66 ,4 ,11 ,,,"1,046",
Veteran Affairs,9627 ,722 ,8905 ,,,"107,178",
US Military,7434 ,27 ,4539 ,,,,
Navajo Nation,2373 ,73 ,2300 ,,,"11,627",
Federal Prisons,2340 ,40 ,1608 ,,,,
Grand Princess Ship,103 ,3 ,100 ,,,,
Wuhan Repatriated,3 ,,3 ,,,3,
Diamond Princess Ship,46 ,,46 ,,,46,